Francais,Malagasy,Anglais
foetus (un),tsaika,foetus (a)
foie (le),aty,liver
fontanelle,"hevo,lohamalemy",fontanel
fossettes (des),fandaingana,dimple (a)
front (le),handrina,forehead (the)
gencive,hihi-nify,gum
gencives (les),hihy,gums (the)
gencive (une),akanjo-nify,gum (a)
gène,zena,gene
genou,"leferana,lohalika","knee (a),knee,popliteal,popliteus"
gensive (une),hihy,gums (the)
giron (le),fofoana,bosom
gorge (une),fitelemana,"delicacy (a),gorge (a),throat (a)"
gorge (une),tenda,throat (a)
goulot (un),vozona,neck (a)
goût (un),tsiro,taste (a)
griffe (une),"angofo,hoho","claw (a),nail (a)"
gueule (une),vava,mouth (a)
hanche,taolan-tsikina,hipbone
hanche (haut de la),"taola-maoja,taola-moja",pelvis bones
hanche (une),andilana,loin (a)
haut de la cuisse,foto-pe,upper thigh
humaine (au),hoditra,"bark (a),hide (a),skin (a)"
humérus,taolan-tsandry,humerus
iliaque,ila taola-maoja,"hipbone,iliac"
index (l'),fanondro,index finger (the)
index (un),tondro,finger (a)
intérieur (l'),fo,"heart (a),pith (the)"
intestin,"aky,tsinay","entrails,intestine"
jambe (une),"kirandra,ranjo,tongotra","foot (a),leg (a)"
joint (un),famavany,"articulation (an),joint (a)"
joue,"holaka,takolaka",cheek
joue (la),fify,cheeks (the)
larmes (des),ranomaso,"tear (a),tears"
larmes (une),ranomaso,"tear (a),tears"
lèvre,molotra,lip
mâchoire,"valanorana,valanorano",jaw
mains (des),tanana,"foreleg of quadrupeds (the),hand (the)"
main (une),tanana,"foreleg of quadrupeds (the),hand (the)"
mamelle,nono,"breast,udder"
manche (une),tanana,"foreleg of quadrupeds (the),hand (the)"
mandibule,"taolam-balanorano,vangy",jawbone
marteau,taola-mitohy,"incus,malleus"
matrice,fananahana,womb
matrice (une),vohoka,womb (a)
membre inférieur (un),rantsam-batana ambany,limb (lower)
menstruation (une),fotoana,period (a)
menton (le),saoka,chin (the)
menton,"saomaka,somaka",chin
métacarpe,"lahatanana,taolan-tanana","carpus,metacarpus"
métatarse,"lahatongotra,taolan-tongotra","metatarsus,tarsus"
mettre bas (qui vient de),teraka,"born,delivered of child"
miction,famaniana,urethra
moëlle (la),fo,"heart (a),pith (the)"
molaire (une),vazana,molar (a)
mollet (un),kibon-dranjo,calf (a)
mort (un),faty,"corpse (a),death"
morve (une),lelo,mucus (a)
moustache (une),"sômbotro,volombava","beard (a),moustache (a)"
muer,miofaka,"peel off (to),scale (to)"
mufle (un),vava,mouth (a)
muscle (un),"nofotra,ozatra,siraka","muscle (a),sinew (a)"
museau (un),vava,mouth (a)
narine,vavorona,nostril
nasal,taolan' orona,nasal
né,teraka,"born,delivered of child"
nerf (un),"fitatitra,ozatra","muscle (a),sinew (a)"
neurone (un),nerônina,neuron (a)
nez (un),orona,nose (a)
noeud (un),famavany,"articulation (an),joint (a)"
nombril (un),foitra,navel (a)
nuque (extrémité de la),fara hatoka,nape of the neck (upper part)
occipital (os),taola-mokondoha,occipital bone
odorat,"fanamboloana,fanimboloana",smelling
oeil (un),"fanenty,maso,voamaso","eye (an),eyeball (an),eyes"
oeuf (un),atody,egg (an)
ombilic (un),foitra,navel (a)
omoplate,"rangomaina,taolan-avay","blade-bone,scapula,shoulder blade"
ongle (un),"angofo,hoho","claw (a),nail (a)"
orbite,taola-maso,"eye-socket,orbit"
ordure,"diky,tay","dung,excrement,filth,refuse"
oreille,tadiny,ear
oreille (une),"sofina,sofiñy",ear (an)
orteil (le petit),ankihikelintongotra,toe (the little)
orteil (un),"rantsan-tongotra,tôndron-vity",toe (a)
orthosympathique,ôrtôsempatika,orthosympathetic
os iliaque (un),"taola-maoja,taola-moja",pelvis bones
os (un),taolana,bone (a)
ouïe,"fandrenesana,fitainoana",hearing
ouïe (une),fihainoana,"auscultation (an),stethoscope (a)"
ouverture (une),vava,mouth (a)
palais,lanilany,palate
palper,fitsapana,"experiment,feeling,touching"
pariétal,taolan-tsolampy,parietal
patte de devant d'un quadrupède (une),tanana,"foreleg of quadrupeds (the),hand (the)"
patte (une),tongotra,"foot (a),leg (a)"
paumede la main (la),felatanana,palm of the hand (the)
paupière,hodimaso,eyelid
peau,hoditra,"bark (a),hide (a),skin (a)"
peau (une),hoditra,"bark (a),hide (a),skin (a)"
percevoir,mandre,"hear (to),perceive (to)"
phalange (une),"vanin-drantsana,vanin-tondro",phalanx (a)
pied (un),"hongotra,tongotra","foot (a),leg (a)"
pis,nono,"breast,udder"
pisser,"mamany,mifama","piss (to),urinate (to)"
placenta (le),ahitra,placenta (the)
placenta,"plasenta,tavony,zandrin-jaza","afterbirth,placenta"
plexus,vavafo,plexus
poignet (un),hatotanana,wrist (a)
poing,"hondry,tsapoky",fist
poitrail (un),tratra,"breast (a),chest (a)"
poitrine (une),tratra,"breast (a),chest (a)"
pommette,taolan-tava,cheekbone
poplité,leferana,"knee (a),popliteal,popliteus"
postérieur (un),vody,"posterior (a),rump (a)"
pouce (le),ankihibe,thumb (the)
pouce (un),"ankibe,ankihiben-tanana",thumb (a)
poumon,havokavoka,lung
pupille de l'oeil (la),anakandriamaso,pupil of the eye (a)
quintus,ankihikelintongotra,toe (the little)
rate (une),ary,"milt (a),spleen (a)"
rayon (un),tanana,"foreleg of quadrupeds (the),hand (the)"
rein,valahana,loin
rein (un),voa,kidney (a)
reproduction,fananahana,womb
respiration (une),"fiainana,fiaina,fisefo","breathing (act of),life (a)"
respiratoire (le canal),fiainana,"breathing (act of),life (a)"
respirer (action de),fiainana,"breathing (act of),life (a)"
rognon (un),voa,kidney (a)
rotule (une),"ampelandohalika,katrokatro,taolan-dohalika,tsopoko","kneecap (a),kneepan (a)"
saigner,vaky ra,"bleeding,bleed (to)"
saleté,diky,"dung,excrement,filth"
salive (une),ivy,saliva
sang (le),ra,blood
sein,nono,"breast,udder"
sensation,fandrenesana,hearing
sentir,mandre,"hear (to),perceive (to)"
skelette (un),haran-olona,skeleton (a)
soupirail (un),fiainana,"breathing (act of),life (a)"
sourcil,"ankaosy,manjamaso,volotsitry",eyebrow
stéthoscope (un),fihainoana,"auscultation (an),stethoscope (a)"
sueur,hatsembohana,sweat
sueur (une),dinitra,"perspiration (a),sweat (a)"
talon,"hotro,ombalahin-tongotra,tomotro",heel
tarse,"taolan-katotongotra,taolan-tongotra,tarsa","metatarsus,tarsus"
tartre (un),kitro,"callus (a),corn (a)"
temporal,taolam-pihirifana,temporal
testicule,"atodinakanga,vihy","testicle,testis"
tête (une),loha,head (a)
tibia,"kirango,kiranjo,taolam-peky,taolan-dranjo",tibia
toucher,fitsapana,"experiment,feeling,touching"
tronc (un),tenabe,trunk (a)
uriner,"mamany,mifama,mivalan-drano","piss (to),urinate (to)"
urine,"amany,bitsa,fama",urine
usages des ancêtres,fara hatoka,nape of the neck (upper part)
utérus,"fananahana,vihidinty",womb
vaisseau sanguin,lalan-dra,"artery,blood vessel,vein"
vaisseau,fantson-dra,blood-vessel
veine (une),"ozatra,vena","muscle (a),sinew (a)"
veine,lalan-dra,"artery,blood vessel,vein"
vêler,miteraka,birth (to give)
ventre (un),kibo,"abdomen (an),belly (a),stomach (a),womb (a)"
ventricule (un),"hoboky ny fo,lapan' ny fo",ventricle (a)
vertèbre,taolam-body,vertebra
vésicule,afero,"bile,gall-bladder,gall"
vessie (une),tatavia,bladder (a)
vie (une),fiainana,"breathing (act of),life (a)"
visage,"tarehy,tava","appearance,face"
vision (une),fahitana,"sight (a),vision (a)"
vue (une),fahitana,"sight (a),vision (a)"
vulve,"andetra,fala,kindy,tengy,totoky,vavam-pivaviana",vulva
yeux bleus,ngara,"blue eyed,grey eyed"
yeux (des),"fanenty,maso","eye (an),eyes"
yeux gris,ngara,"blue eyed,grey eyed"
zygote (un),atody,egg (an)
botanique,haizavamaniry,botany
vaccin (un),fanefitra,vaccine (a)
vapeur (une),fofona,odor (an)
végétation de marécage,heniheny,swamp (a)
ylang-ylang,ilañilañy,ilang-ilang
botanique:arbre,haizavamaniry:hazo,botany:tree
arbre (espèce d'),"alampona,amborandrainivelona,andrambafohy,fanaladindo,katepoke,tafonana,tafononana,tamborisa,taravina,timbarika,tobory,tsilongondongotra,tsimiramira,tsimiranjana,tsimoly,tsitolona,tsokakoho,valimpona,valotsarona,vapaka,varonala,voamanerana,voamay,voampirakitra,voantsidity,voatalanana,vodiomby,vohody,zala,zanahy",tree (species of)
banane (une),akondro,banana (a)
bananier (un),akondro,banana (a)
banyan,monoko,banyan
baobab,"bozy,tontoro,zaha",baobab
baobab (un),"bozo,za","baobab (a),baobab tree (a)"
cactus,"raiketra,raketa",cactus
chêne,oaka,oak
épine,roy,"bush,thorn"
épineux,roy,"bush,thorn"
figue,aviavy,fig
figuier (espèce de),"adabolahy,adabonolona,adabonomby,voara",ficus (species of)
figuier,"amaotaña,amontana,aviavy",fig
goyave,goavy,guava
goyavier,goavy,guava
jacquier,ampalibe,"jackfruit,jack"
jaque,ampalibe,"jackfruit,jack"
jaquier,"ampalibe,ampalisy","jackfruit,jack"
kapok (du),kapoaka,kapok
kapokier (un),kapoaka,kapok
mangrove,alan-konko,mangrove
mangue,manga,mango
mûrier,voaroy,mulberry
mûrier (un),hazondandy,mulberry tree (a)
palmier (espèce de),banty,palm (species of)
palmiste,banty,palm (species of)
sycomore,amontana,fig
tisane,fandramana,tea
botanique:épice,haizavamaniry:fifinto,botany:spice
café,kafe,coffee
cannelle,kanelina,cinnamon
gingembre,"sakaitany,sakarivo",ginger
girofle,"jirofo,jorofo",clove
menthe,solila,mint
muscade,voamanitra,nutmeg
piment,sakay,pepper
safran (le),tamotamo,"saffron plant (the),tumeric plant (the)"
botanique:feuille,haizavamaniry:ravina,botany:leaf
botanique:fleur,haizavamaniry:voninkazo,botany:flower
fleur de nénuphar,vonim-boahirana,waterlily flower
nénuphar,tatamo,water lily
rose (une fleur de),raozy,rose flower (a)
botanique:fruit,haizavamaniry:voankazo,botany:fruit
arachide,"kapiky,kolitry,voanjo katra",peanut
arachide (une),"kapika,voanjombazaha,voanjo","peanut (a),peanuts"
banane,boroboaka,banana
banane (espèce de),"mavokely,ontsy",banana (a)
banane (une),"afontsy,akondro",banana (a)
bananier (un),"afontsy,akondro",banana (a)
bibasse,bibasy,loquat
bibassier,bibasy,loquat
cacahuète,kapiky,peanut
cacahuète (une),"kapika,voanjolava",peanut (a)
cacahuète (une),voanjo,"peanut (a),peanuts"
citron (un),"tsôa,voasary","lemon (a),orange (an)"
citrouille,voatavo,"melon,pumpkin"
corossol,voantsokona,soursop
fraises (des),frezy,strawberry (a)
fraise (une),frezy,strawberry (a)
fruit à pain,soanambo,breadfruit
goyave,"angavo,gava,goavy",guava
groseille du cap,voanantsindrana,"bush passion fruit,love-in-a-mist,marya-marya,running pop,stinking passionflower,wild maracuja,wild water lemon"
kaki,kaky,"persimmon,sharon fruit"
melon,voatavo,"melon,pumpkin"
melon musqué (espèce de),voatango,muskmelon (kind of)
nèfle,"bibasy,pibasy",loquat
néflier,"bibasy,pibasy",loquat
orange (une),"laoranjy,voasary","lemon (a),orange (an)"
pamplemousse,voangibe,grapefruit
pastèque,"voajabo,voanketsihetsy,voatavorano",watermelon
pastèque (une),voazava,watermelon (a)
pêcher (un),"paiso,peso","peach (a),peach tree (a)"
pêche (une),paisom-bazaha,plum (a)
pêche (une),"paiso,peso","peach (a),peach tree (a)"
pistache,"kapiky,voanjo katra",peanut
pistache (une),"kapika,voanjombazaha,voanjo","peanut (a),peanuts"
poc-poc,voanantsindrana,"bush passion fruit,love-in-a-mist,marya-marya,running pop,stinking passionflower,wild maracuja,wild water lemon"
pommes (des),paoma,"apple (an),apples"
pomme (une),paoma,"apple (an),apples"
potiron,voatavo,"melon,pumpkin"
prune (une),"paisom-bazaha,paiso","peach (a),peach tree (a),plum (a)"
prunier (un),paiso,"peach (a),peach tree (a)"
raisin,"takifoka,voaloboka,voaloboke",grape
riz (grain de),voambary,rice grain
tomate (une),"voatabia,voatabiha",tomato (a)
vigne,"voaloboka,voaloboke",grape
botanique:herbe,haizavamaniry:ahitra,botany:grass
algue,lomotra,"algae,scum,seaweed"
algue (une),ahidrano,"algae (an),seaweed (a)"
amaranthe (espèce d'),anantarobazaha,herb (kind of)
ambaville,anjavidy,heather
ambrevade,"ambarivatry,amberivatry,antsotry",ambrevade
bambou (un),"volotsangana,volo",bamboo (a)
belle-de-nuit,belakariva,four o'clock flower
blé (le),varimbazaha,"cereal,wheat"
bruyère,anjavidy,heather
canne à sucre,fary,sugar cane
canne à sucre,fisika,sugarcane
chaume,bozaka,grass
citronnelle,veromanitra,lemongrass
coton,landihazo,cotton
foin,ahimaina,hay
fougère (une),ampanga,fern (a)
fourrage (du),ahitromby,herb (an)
froment (le),varimbazaha,"cereal,wheat"
herbe,"bozaka,bozake",grass
ivraie,"ahidratsy,akofa",chaff
jonc (espèce de),banòka,rush (species of)
mil,ampemba,sorghum
mousse,"hambina,kambana,kambina,lomotra","algae,scum,seaweed"
riz (du),vary,rice
riz (variété de),"botri-vaventy,makalioka,tsiavasana,varivanio,varivato",rice (variety of)
roseau (espèce de),harefo,"reed (species of),rush (species of)"
roseau (un),"volotsangana,volo",bamboo (a)
safran marron,dingiza,indian shot
sisal (fibre de),taretra,"sisal fiber,sisal"
