Francais,Malagasy,Anglais
elnatân,elnatana,elnathan
elpaal,"elfaala,elpala",elpaal
el-parân,"el-faràna,elparana",elparan
elqana,elkana,elkanah
elqosh,"elkosita,elkosy",elkoshite
elul,elola,elul
elyaqim,"eliakima,eliasima",eliakim
elyashib,eliasiba,eliashib
elyoénaï,"elioenaì,elioenay,elionaia",elioenai
élyoénaï,elionaia,elioenai
elzabad,elzabada,elzabad
emmanuel,"emanoela,imanoela",emmanuel
emmaüs,emaosy,emmaus
en-dor,"andora,endora",endor
en-églayim,"en-eglaima,engallima",eneglaim
en-gaddi,"engaddi,en-jedy",engedi
en-ha-qoré,en-hakore,enhakkore
en-rimmôn,"en-remona,en-rimona",enrimmon
ephaï,"efay,efoì",ephai
ephèse,"efesosy,efezy",ephesus
ephphatha,"efata,efeta",ephphatha
éphraïm,"afaima,apaima",appaim
ephraïm,efraima,ephraim
ephrata,efrata,ephratah
eqrôn,"akarona,ekrona",ekron
éqronites,"akaronita,ekronita",ekronites
er,hera,er
esaü,esao,esau
esdras,"esdrasa,esrà,ezra",ezra
eshbân,"esbana,esebana",eshban
eshkol,eskola,eshcol
eshtaol,estaola,eshtaol
eshtôn,estona,eshton
espagne,"hispania,spania",spain
esthemoa,"estamao,estemoa",eshtemoa
esther,estera,esther
étam,etama,etham
ethiopie,etiopia,ethiopia
ethiopien,etiopiana,ethiopian
etnân,etnàna,ethnan
eubule,eobolo,eubulus
euphrate,eofrata,euphrates
euraquilon,"eorakylona,eoroakilòna",euroclydon
eutyque,"eotika,eotyka",eutychus
évangile,evanjely,gospel
évangile,vaovao mahafaly,"good news,gospel"
évangile (l'),filazantsara,"gospels (the),testament (the new)"
ève,eva,eve
evil-mérodak,"evila-merodaka,evil-merodaka",evilmerodach
exode,fanafahana,exodus
ezéchias,"ezekiasa,hezekia",hezekiah
ezéchiel,ezekiela,ezekiel
ézer,ezera,ezer
ezra,"esrà,ezra","ezrah,ezra"
ezri,"ezrì,ezry",ezri
félix,"feliksa,félix",felix
festus,"festosa,festosy",festus
fortunatus,fortonato,fortunatus
gaal,gaala,gaal
gaash,gaasa,gaash
gabaôn,"gabaona,gibeona",gibeon
gabaonites,"gabaonita,gibeonita",gibeonites
gabbatha,gabata,gabbatha
gabriel,"gabriela,gabriely",gabriel
gadaréniens,"gadarena,geraseny",gergesenes
gaddiel,gadiela,gaddiel
gad,gada,gad
gadi,"gadì,gady",gadi
gadites,gadita,gadites
gaham,gahama,gaham
gahar,"gahara,gahera",gahar
gaïus,"gaïosa,gaio",gaius
galaad,gileada,gilead
galaadite,"galaadita,gileadita",gileadite
galal,galala,galal
galates,"galata,galatiana",galatians
galatie,galatia,galatia
galéed,"galaada,galeda",galeed
galilée,"galileas,galilea,galilia",galilee
galiléens,"galileana,galiliana",galilaeans
gallion,"galiona,galio",gallio
gamliel,gamaliela,gamaliel
gamul,gamola,gamul
gareb,gareba,gareb
garizim,"garizima,gerizima",gerizim
garmite,"garmiana,garmita",garmite
gatam,"gatama,gathama",gatam
gat,"gata,geta",gath
gat-hépher,"gata-hefera,geta-kefera",gathhepher
gat-rimmôn,gata-rimona,gathrimmon
gaza,gaza,gaza;
gazèz,gazeza,gazez
gazzam,gazama,gazzam
géba,"gabea,geba",geba
gebal,"gebala,giblioma",gebal
géber,"gabara,gabera",geber
gébîm,"gabima,gebima",gebim
gedalyahu,godohiasa,gedaliah
gédéon,"gideona,jedeona",gideon
gedérot,"gaderota,gederota",gederoth
gedor,"gadora,gedora",gedor
géhazi,"gehazy,giezi",gehazi
gelboé,"gilboa,jelboe",gilboa
gemalli,"gemalì,gemaly",gemalli
gemaryahu,"gamariasa,gemaria",gemariah
genèse,"genesisy,jenezy",genesis
gennésaret,genesareta,gennesaret
genubat,genobata,genubath
gérar,"gerara,jerara",gerar
géraséniens,gerasena,gadarenes
gershom,"gersama,gersoma",gershom
gershôn,gersona,gershon
gershonites,gersonita,gershonites
geshân,"gesana,gosàna",gesham
géshem,gasema,geshem
geshur,gesora,geshur
geshurites,"gesoriana,gesorita",geshurites
géter,"gatera,getera",gether
gethsémani,"getsemane,getsemany",gethsemane
géuel,"geoela,goela",geuel
gézer,gazera,gezer
giah,"giaka,gia",giah
gibbar,"gebara,gibara",gibbar
gibbetôn,"gebetona,gibetona",gibbethon
gibéa,"gabaàn,gibean",gibeah
giddalti,"gedeltì,gidalty",giddalti
giddel,"gedela,gidela",giddel
gidéoni,"gideony,jejeona",gideoni
gihôn,gihona,gihon
gilgal,"galgalà,gilgala,gilgaly",gilgal
gilo,"gilao,gilo",giloh
gilonite,"gilaonita,gilonita",gilonite
gimzo,"gamzao,gimzo",gimzo
ginat,"ginata,gineta",ginath
ginnetôn,"gentona,ginetona",ginnethon
girgashites,"gergeseana,girgasita",girgashites
girzites,gizrita,gezrites
gishpa,"gasfà,gispa",gispa
gittayim,"getaima,gitaima",gittaim
gob,goba,gob
godolias,"gedalia,godohiasa,godoliasa",gedaliah
gog,goga,gog
golân,"gaolona,golana",golan
golgotha,golgota,golgotha
goliath,goliata,goliath
gomer,gomera,gomer
gomorrhe,gomora,gomorrah
gorèn-ha-atad,"atada,goren-atada",atad
goshèn,gosena,goshen
gozân,gozana,gozan
grèce,"gresa,grisia",greece
grecs,greka,greeks
gudgoda,"gadgada,godgoda",gudgodah
guni,gonì,guni
gunite,gonita,gunites
gur-baal,"gora-baala,gorabala",gurbaal
habaççinya,"habazinia,habsaniasa",habaziniah
habaquq,habakòka,habakkuk
habor,habora,habor
haçaçôn-tamar,"asason-tamara,hazazon-tamara",hazezontamar
haçar-addar,"hatsar-adar,hazar-adara",hazaraddar
haçar-énân,"hatzera-enona,hazar-enana",hazarenan
haçarmavet,"asarmota,hazarmaveta",hazarmaveth
haçar-shual,"hasar-soala,hasersoala,hazara-soala",hazarshual
haçar-susim,"hasar-sosima,hazora-sosima",hazarsusim
haççobéba,"sobobà,zobeba",zobebah
haçer-ha-tikôn,"hatzera-tikona,hazara",hazarhatticon
haçérot,hazerota,hazeroth
haçlelponi,"asalelfoni,hazelelpony",hazelelponi
haçor,"ashora,asora,hazora","ashur,hazor"
hadadézer,"hadadezera,hadarezera","hadadezer,hadarezer"
hadad,"adada,adadremona,hadada,hadadrimona,hadara","hadadrimmon,hadad,hadar"
hadad rimmôn,"adadremona,hadadrimona,hadara","hadadrimmon,hadad,hadar"
hadassa,"edisa,hadasa",hadassah
hadid,hadida,hadid
hadlaï,"adalì,hadlay",hadlai
hadoram,hadorama,hadoram
hadrak,"hadraka,hadraky",hadrach
hagaba,"hagabaha,hagaba","hagabah,hagaba,hagab"
hagab,hagabaha,"hagabah,hagaba,hagab"
haggi,"agy,hagy",haggi
haggite,agita,haggites
haggit,hagita,haggith
hagri,"agaraì,hagry",haggeri
hagrites,"agareana,agareniana,hagarita","hagarites,hagerite"
hakeldama,"akeldama,haseldamà",aceldama
hakila,hakilà,hachilah
hakmoni,"hakamonì,hakmony",hachmonite
hakmonite,"hakamoni,takemonita",tachmonite
hallohesh,"alohesa,halohesy",halohesh
hamat,hamata,hamath
hamatite,"amateana,hamateana,harnatita",hamathite
hamdata,"amadata,hamedota",hammedatha
hamital,"amitala,hamotala",hamutal
hammolékèt,hamoleketa,hammoleketh
hamona,hamona,hamonah
hamor,hemora,hamor
hamul,hamola,hamul
hamulite,hamolita,hamulites
hanaméel,"hanamela,hananeela",hanameel
hanani,hananì,hanani
hananya,"hananiasa,hanania",hananiah
hanès,hanesa,hanes
hanniel,haniela,haniel
happiçèç,"afresa,hafizeza",aphses
haqqatân,"eksetana,hakatana",hakkatan
haqqoç,"hakoza,kaosa","coz,hakkoz,koz"
haqupha,"hakafa,hakofà",hakupha
harada,"aradà,harada",haradah
harân,"aràna,harana",haran
hararite,hararita,hararite
harbona,harbona,harbonah
harèph,"harefa,harifa",hareph
harhas,"araasa,harasa",harhas
har-hérès,har-haresy,heres
harim,"haràma,harima,herema",harim
harmagedôn,"armagedòna,hara-magedona",armageddon
harnépher,"harnafera,harnefera",harnepher
harod,"haroda,harodita",harodite
haroshèt-ha-goyim,"haroseta-goïma,haroseta",harosheth
harsha,harsà,harsha
haruç,"harosa,haroza",haruz
harumaph,haromafa,harumaph
harum,"aroma,haroma",harum
ha-séïra,seirata,seirath
hashabnéya,"hasabnia,hasebniasa",hashabniah
hashabyahu,"hasabiasa,hasabia",hashabiah
hashbaddana,hasbadana,hashbadana
hashmona,"hasmona,hesmonà",hashmonah
hashshemaa,samaà,"shemaah,shem"
hashshub,hasoba,hashub
hashum,hasoma,hashum
hasra,hasra,hasrah
hasupha,hasofà,hashupha
hataq,"atàka,hatàka",hatach
hatipha,hatifa,hatipha
hatita,hatita,hatita
hattil,hatila,hattil
hattush,"hatosa,hatosy",hattush
haurân,haorana,hauran
havila,"havila,hevilà",havilah
hazaèl,hazaela,hazael
haziel,"haziela,hoziela",haziel
héber,hebera,heber
hébreux,"hebreo,hebrio",hebrews
hébrite,"heberita,hebrita",heberites
hébron,"abrona,hebrona,kariat-arbe","ebronah,hebron,kirjatharba"
hébronites,hebronita,hebronites
hèçraï,"hesraia,hezray",hezrai
heçro,"hesrao,hezro",hezro
heçrôn,hezrona,hezron
hèçronite,"hesrona,hezronita",hezronites
hégé,"egea,hegay",hegai
hélam,helama,helam
helbah,helbà,helbah
helbôn,helbona,helbon
heldaï,"helday,holdaì",heldai
héléa,"halaà,hela",helah
héleç,"helesa,heleza",helez
héled,heleda,heled
hélem,helema,helem
héleq,heleka,helek
hellénistes,helenista,grecians
hélôn,helona,helon
helqaï,"helkay,helkì",helkai
helqite,"helekita,helikita",helekites
hemdân,"hamdàna,hemdana",hemdan
hénadad,henadada,henadad
hénok,"hanoka,henoka",hanoch
hénokite,"hanokita,henokita",hanochites
hépher,hafera,hepher
héphrite,"heferita,hefrita",hepherites
héresh,"haresy,heresa",heresh
hérèt,hareta,hareth
hermas,"hermasy,herma",hermes
hermès,hermesy,hermas
hermogène,hermogena,hermogenes
hermon,hermona,hermon
hérode,heroda,herod
hérodiade,"herodiada,herodiasy",herodias
hérodiens,herodiana,herodians
hérodion,herodiona,herodion
heshbôn,"hesbona,hesebona",heshbon
hètlôn,"hethalona,hetlona",hethlon
hézir,hezira,hezir
hèzyôn,heziona,hezion
hiddaï,"hedaia,hiday",hiddai
hiel,hielà,hiel
hiérapolis,"hierapolia,hierapolisy",hierapolis
hillel,"elela,ilela",hillel
hilqiyyahu,"helkiasa,hilkia",hilkiah
hinnom,"enoma,himona,hinema,hinnoma",hinnom
hira,hira,hirah
hiram,hirama,hiram
hittites,"heteana,hetita",hittites
hivvites,"heveana,hivita",hivites
hizqi,"hezesì,hizky",hezeki
hobab,hobaba,hobab
hobayya,"habaia,hobià",habaiah
hodavya,"hodavia,odoià",hodaviah
hodiyya,"hodia,odaiasa,odaià","hodiah,hodijah"
hogla,"heglà,hogla",hoglah
homam,homama,homam
hophni,"hofinia,ofnì",hophni
horeb,horeba,horeb
hor-gidgad,"hora-hagidgada,hor-gadgada",horhagidgad
hori,"hori,hory",hori
horites,"horeana,horita",horites
horma,"hormà,hormì",hormah
horonayim,horonaima,horonaim
horonite,horonita,horonite
hosanna,hosana,hosanna
hoshaya,"hosaia,osaiasa",hoshaiah
hotam,hotama,hotham
hotir,"hotira,otira",hothir
hulda,holda,huldah
hupham,hofama,hupham
huphamite,hofamita,huphamites
huppa,"hopa,hopfà",huppah
huppim,"hafamà,hapfima,hopima",huppim
huraï,"horaì,horay",hurai
huram,horama,huram
hur,hora,hur
husha,hosa,hushah
hushaï,"hosay,hosì",hushai
husham,hosama,husham
hushim,hosima,hushim
hyménée,"himeneo,hymeneo",hymenaeus
ibçân,"abesàna,ibzana",ibzan
iconium,ikonioma,iconium
iddo,"adao,ido",iddo
iézrite,jezerita,jeezerites
ikabod,ikaboda,ichabod
immer,"emera,imera",immer
iqqèsh,"aksesa,ikesy",ikkesh
irad,irada,irad
ira,hirà,ira
isaac,"isaaka,isaka",isaac
isaïe,"isaia,izaia",isaiah
iscariote,iskariota,iscariot
ishbaal,isboseta,ishbosheth
ishehod,"isehoda,iskoda",ishod
ishyo,jesoì,ishui
ismaèl,"isimaela,ismaely",ishmael
ismaélites,"isimaelita,ismaelita",ishmeelites
israël,"isarely,isiraely,israely",israel
israélites,"isiraelita,israelita",israelites
issachar,isakara,issachar
itaï,"etaì,itahy",ithai
italique,italiana,italian
itamar,itamara,ithamar
itiel,"eteela,itiela",ithiel
ittobaal,"etbaala,etibala",ethbaal
ivva,"avà,iva",ivah
iyyé-ha-abarim,"ie-abarima,ije-abarima",ijeabarim
iyyôn,"ahiona,ajona,iona",ijon
jacob,jakoba,jacob
jacques (épitre de saint),jakoba,james (letter of)
jacques,jakoba,james
jaïre,"jaïra,jairo",jairus
jannès,"jana,janesy",jannes
japhet,jafeta,japheth
jason,jasòna,jason
jean,"jaona,joany",john
jeanne,"joana,johana",joanna
jébuséens,"jeboseana,jebosita",jebusites
jébus,"jebosa,jebosy",jebus
jéchonias,"jekoniasa,jekonia",jechonias
jéhu,jeho,jehu
jenezy,fiandohana,genesisy
jephté,"jefta,jefte",jephthah
jérémie,jeremia,jeremiah
jéricho,"jerikao,jeriko",jericho
jéroboam,jeroboama,jeroboam
jérusalem,jerosalema,jerusalem
jessé,jese,jesse
jésus,"jesosy,jeso",jesus
jéthro,"jetrao,jetro",jethro
jézabel,"jezabela,jezebela",jezebel
joab,joaba,joab
joachaz,"joahaza,joakaza",jehoahaz
joas,"joasa,joasy",joash
job,joba,job
joiakîn,"joasina,joiakina",jehoiachin
joiaqim,"joakima,joiakima",jehoiakim
jonas,"jonasa,jona",jonah
jonathan,"jonatana,jonatasy",jonathan
joram,"jehorama,jorama",jehoram
jorim,"joreima,jorima",jorim
josaphat,josafata,jehoshaphat
joseph,josefa,joseph
josias,"josiasa,josia",josiah
josué,"jesoa,josoe",jeshua
jourdain,"jordana,jordany",jordan
juda,joda,judah
judas,jodasy,judas
judée,"jodea,jodia",judaea
jude,joda,jude
juges,mpitsara,judges
juifs,"jiosy,jody",jews
julie,jolia,julia
julius,"joliosa,jolio",julius
junias,"joniasa,jonia",junia
justus,"jostosa,josto",justus
kabbôn,"kabona,kebona",cabbon
kabul,"kabola,kobola",cabul
kalah,"kala,kale",calah
kalné,kalne,calneh
kalno,"kalnao,kalno",calno
kaphtorim,"kaftorima,kaftorita",caphtorims
kaphtor,"kafitora,kaftora",caphtor
karkas,karkasa,carcas
karkémish,"karkemisa,karkemisy",carchemish
karmi,"karmì,karmy",carmi
karmite,karmita,carmites
kasluh,"kaslohita,kasloima",casluhim
kebar,"kebara,kobara",chebar
kedor-laomer,"kedorlaomera,kodorlahomora",chedorlaomer
kelub,keloba,chelub
kemosh,kemosy,chemosh
kenaana,"kanaana,kenana",chenaanah
kephira,"kafarà,kefira",chephirah
kerân,"karàna,kerana",cheran
kerétiens,"gatita,keretiana",cherethites
kerit,"karita,kerita",cherith
kerub,"keroba,kerofa",cherub
kezib,"akeziba,keziba",chezib
kiléab,"keleaba,kileaba",chileab
kilmad,"kelmada,kilmada",chilmad
kilyôn,"kiliona,seljòna",chilion
kimhân,"kamaama,kimama",chimham
kinnérèt,"kenereta,kinereta",chinnereth
kinnerot,"kenerota,kinerota",cinneroth
kisleu,"kasleo,kisleo",chisleu
kislôn,"kaslona,kislona",chislon
kittim,"kitima,sitima",chittim
kosam,kosama,cosam
kozbi,"kosby,kozbì",cozbi
kub,kobiana,chub
kushân-risheatayim,"kosan-risataima,kozana-rasataima",chushanrishathaim
kushi,kosy,cushi
kushite,kosita,cushi
kush,"kosa,kosy",cush
kusnan,kosana,cushan
kuta,kota,cuthah
laban,labana,laban
lada,laadà,laadah
laèl,laela,lael
laïsha,"laisa,laisy",laish
lakish,"lakisa,lakisy",lachish
lamek,lameka,lamech
lamentations,fitomaniana,lamentations
laodicée,"laodikia,laodisea",laodicea
lappidot,lapidota,lapidoth
lasaïa,lasea,lasea
lazare,"lazara,lazarosy",lazarus
léa,"lea,lià",leah
lebana,lebana,"lebanah,lebana"
lebona,lebona,lebonah
légion,"legiona,lejiona",legion
lehab,"laabima,lehabita",lehabim
lemuel,"lamoela,lemoela",lemuel
lésha,lesà,lasha
letushim,"latosima,letosima",letushim
léummim,"laomima,leomima",leummim
lévi,"levì,levy",levi
lévites,levita,levites
lévitique,"fisoronana,levitika,levitikosy",leviticus
liban,"libàna,libanona",lebanon
libna,"lebnà,libna",libnah
libni,"lebny,libny,lobnì",libni
libnite,"libnita,lobnita",libnites
libye,"libia,libya",libya
libyens,"libiana,libyana",libyans
lo-ammi,"lô-ammì,lò-amy",loammi
lo-debar,"lodabara,lo-debara",lodebar
loïs,loisa,lois
lo-ruhamah,"lò-rohama,lo-rokhama",loruhamah
lotân,"laotana,lotana",lotan
lot,lota,lot
lucius,"lisiosa,losio",lucius
luc,lioka,luke
ludiens,"lidiana,lydiana",lydians
lud,loda,lud
luhit,"lohita,loita",luhith
lycaonie,"likaonia,lykaonia",lycaonia
lycie,"lisia,lykia",lycia
lydda,"lidà,lyda",lydda
lysias,"lisiasa,lisiasy,lysia",lysias
lystres,"listra,lystra",lystra
maaç,moosa,maaz
maadya,madia,maadiah
maaka,"maakà,maka","maacah,maachah"
maakatite,"maakatiana,makatiana,makatita",maachathite
maakatites,makatiana,maachathite
maasaï,maasaì,maasiai
maaséya,"maasiasa,mahaseia",maaseiah
maath,"mahata,mata",maath
maccabée,makabeo,maccabeus
maccabées,makabeo,maccabees
macédoine,"makedonia,masedonia",macedonia
macédonien,"makedoniana,masedoniana",macedonian
madianite,"madianita,midianita",midianite
madiân,"madiana,midiana",midian
madmèn,madmena,madmen
magadan,"magadana,magedana",magdala
magdala,"madelena,magdalena",magdalene
magdiel,magdiela,magdiel
magog,magoga,magog
mahaç,"makaza,maksesa",makaz
mahalat,"mahalota,maheleta",mahalath
mahaleb,"ahalaba,alaba",ahlab
mahanayim,"mahanaima,manaima",mahanaim
mahla,"maalà,mahala",mahlah
mahlite,"malita,moholita",mahlites
mahlôn,"mahalòna,malona",mahlon
mahraï,"maharaia,maharay",maharai
maître,jehovah,"god,jehovah,lord"
maki,"makì,maky",machi
makirite,makirita,machirites
makir,makira,machir
makpéla,makpelà,machpelah
malachie,malakia,malachi
malchus,"malkosy,malko",malchus
maleléel,"mahalalila,malaleela",maleleel
malkiélite,"malkielita,melkielita",malchielites
malkiel,"malkiela,melkiela",malchiel
malki-shua,"malkisoa,melkisoà",melchishua
malkiyya,"malkia,melkiasa",malchiah
malkom,"malkama,molkoma",malcham
malluk,"maloka,melòka",malluch
malte,"malta,melita",melita
mambré,"mambre,mamre",mamre
manaèn,"manahena,menahema",manaen
manahat,manahata,manahath
manassé,manase,manasseh
manassites,manasita,manassites
manoah,manoe,manoah
maôn,maona,maon
maqhélot,makelota,makheloth
mara,marà,marah
maran,"maran-atha,maran",maranatha
marc,marka,mark
mardochée,"mardokea,mordekay",mordecai
maresha,maresa,mareshah
marôt,"marota,maroty",maroth
marsena,"marsanà,marsena",marsena
marthe,marta,martha
masréqa,masreka,masrekah
massa,"masah,masa",massah
mathousala,"matosalè,metosela",mathusala
matri,"matrita,metrì",matri
mattanya,"mataniasa,matania",mattaniah
mattatha,matatà,mattatha
mattathias,"matatiasa,matitia",mattathias
mattenaï,"matanai,matenay",mattenai
matthan,matana,matthan
matthias,"matiasy,matia",matthias
matthieu,matio,matthew
médad,medada,medad
medân,"madàna,medana",medan
médba,medeba,medeba
mèdes,"meda,mediana,media","medes,media"
megiddo,"magedao,megido",megiddo
megiddôn,"magedao,megido",megiddon
mehétabéel,"mehetabela,metabeela",mehetabeel
mehida,"mahidà,mehida",mehida
mehir,mehira,mehir
mehola,"meholatita,molati",meholathite
mehumân,"maomàna,mehomana",mehuman
mehuyaèl,"maviaela,mehojaela",mehujael
mekona,"mekona,mokona",mekonah
melchi,"melkì,melky",melchi
melchisédech,"melkisedeka,melkizedeka",melchisedec
memphis,"memfisa,memfisy",memphis
méôn,beona,beon
méphaat,"mefaata,mefata",mephaath
mérab,"meraba,meroba",merab
merari,"merarì,merary",merari
merarite,merarita,merarites
merayot,"maraiota,meraiota",meraioth
merémot,"meremota,merimota",meremoth
meriba,meriba,meribah
meribbaal,"meribaala,meribala",meribbaal
mérodak-baladan,merodaka-baladana,merodachbaladan
méroz,meroza,meroz
méshak,mesaka,meshach
mésha,mesa,mesha
méshek,"meseka,mosoka",meshech
meshézabéel,"mesezabela,mesezebela",meshezabeel
meshillémit,"mesilemita,mosolamita",meshillemith
meshillemot,"mesilemota,mosolamota",meshillemoth
meshullam,"mesolama,mosoliama",meshullam
meshullémèt,"mesalemeta,mesolemeta",meshullemeth
mésopotamie,mesopotamia,mesopotamia
messie,mesia,messias
metushaèl,"matosaela,metosaela",methusael
méûnites,"maonita,meonita",mehunims
mé-zahab,"matreda,mezaaba,me-zahaba","matred,mezahab"
mibçar,mibzara,mibzar
mibsam,"mabsama,mibsama",mibsam
michée,"mikaia,mika,mikea","micah,micaiah"
michel,misely,michael
miçpa,"masfà,mizpa",mizpah
miçrayim,mesraima,mizraim
migdol,"magdaloma,migdolasy,migdola",migdol
migrôn,"magrona,migrona",migron
mikaèl,"mikaela,misely",michael
mikal,"mikala,mikola",michal
mikmas,"makmasy,mikmasy",michmash
milet,mileto,miletus
milka,"melkà,milka",milcah
milkom,"melkoma,milkoma",milcom
millo,"melao,milo",millo
minni,"menni,miny",minni
minnit,minita,minnith
minyamîn,"miamina,miniamina",miniamin
miryam,"maria,miriama",miriam
misaèl,"misaela,misaely",mishael
mishéam,"misaama,misama",misham
mishma,"masmà,misma",mishma
mispérèt,"mesfarata,mispereta",mispereth
mitqa,"metkà,mitka",mithcah
mitylène,"mitilena,mitylena",mitylene
mizza,"mezà,miza",mizzah
mnason,"menasona,mnasòna",mnason
moabites,moabita,moabites
moab,moaba,moab
moadya,"moadiasa,moadia",moadiah
moça,"mosà,moza",moza
moïse,"moizy,mosesy",moses
molada,"molada,moladì",moladah
moloch,moloka,moloch
moré,more,moreh
moréshèt,"morastita,moreseta",morasthite
moriyya,moria,moriah
moséra,mosera,mosera
mosérot,moserota,moseroth
mushi,"mosy,mozì",mushi
mushite,mosita,mushites
myre,"mira,myra",myra
mysie,"mizia,mysia",mysia
naama,"naamà,namatita,nama,noema","naamah,naamathite"
naaman,"naamàna,namàna",naaman
naam,"nahama,nama",naam
naaraï,naray,naarai
naasson,"naasona,nahasona",naasson
nabal,nabala,nabal
nabot,nabota,naboth
nabuchodonosor,"nabokodonozora,nebokadnezara",nebuchadnezzar
nachor,"nahora,nakora",nachor
nadab,nadaba,nadab
naggaï,"nagay,nagè",nagge
nahaliel,nahaliela,nahaliel
nahalol,"naalola,nahalola",nahalol
nahash,"naasa,nahasy",nahash
nahat,nahata,nahath
nahbi,"naby,nahabì",nahbi
nahlam,nehelamita,nehelamite
nahraï,"naaraì,naharay",naharai
nahshôn,"nahasona,nasona",nahshon
naïm,"naima,naina",nain
naoum,nahoma,naum
naphtuh,"naftohita,neftoima",naphtuhim
narcisse,"narkisa,narsisy",narcissus
natân,natana,nathan
nazaréens,"nazareana,nazarena",nazarenes
nazareth,nazareta,nazareth
néapolis,"neapolia,neapolisy",neapolis
neballat,"nebalata,nebala",neballat
nebat,"nabata,nebata",nebat
nebayot,"nabaiota,nebaiota",nebaioth
nebo,"nebao,nebo",nebo
nebushazbân,"nabosezibana,nebosazbana",nebushasban
nebuzaradân,"nabozardana,nebozaradana",nebuzaradan
néhémie,nehemia,nehemiah
néhèmya,nehemia,nehemiah
nehushta,"nehosta,nohesta",nehushta
nehushtân,"nehostana,nohestàna",nehushtan
nemrod,"nemroda,nimroda",nimrod
nemuélite,"namoelita,nemoelita",nemuelites
nemuel,"namoela,nemoela",nemuel
népheg,"nafega,nefega",nepheg
nephtali,"naftaly,neftalì",naphtali
nephusites,"nefisita,nefosima",nephusim
neqoda,nekodà,nekoda
nérée,nerea,nereus
nergalsaréser,"nergala-sarezera,nergaly-seresera",nergalsharezer
néri,"nerì,nery",neri
nériyya,"neria,nierasa",neriah
ner,nera,ner
netanéel,"natanaela,netanela",nethaneel
netân-mélek,natana-meleka,nathanmelech
netanya,"nataniasa,netania",nethaniah
netophatite,"netofatita,netofà",netophathite
nibhaz,"nebahaza,nibaza",nibhaz
nicanor,nikanora,nicanor
nicodème,"nikodema,nikodemosy",nicodemus
nicolaïtes,nikolaïta,nicolaitanes
nicolas,"nikolà,nikoleo",nicolas
nicopolis,"nikopolia,nikopolisy",nicopolis
niger,"mainty,nigera",niger
nimra,"nemrà,nimra",nimrah
nimrim,"nemrina,nimrima",nimrim
nimshi,"namsì,nimsy",nimshi
ninive,"niniva,ninive",nineveh
nisan,nisana,nisan
nisrok,"nesroka,nisroka",nisroch
nobah,noha,nobah
nob,"noba,nobe",nob
nod,noda,nod
noémi,"naomy,noemì",naomi
noé,"noa,noe",noah
nombres,fanisana,numbers
no,no,no
nophah,"nofa,nofe",nophah
nûn,nona,nun
nymphas,"nimfa,nymfa",nymphas
obadya,"abdiasa,abediasa,obadia",obadiah
obal,"ebala,obala",obal
obed-édom,obed-edoma,obededom
obed,"ebeda,hebeda,obeda",ebed
obot,obota,oboth
oçem,ozema,ozem
ochozias,"ahazia,okoziasa",ahaziah
og,oga,og
ohad,"ahoda,ohada",ohad
ohola,"ohola,oollà",aholah
oholiab,"oholiaba,ooliaba",aholiab
oholibama,"oholibama,oolibamà",aholibamah
oholiba,"oholiba,oolibà",aholibah
okrân,"okdrana,okrana",ocran
olympas,"olimpia,olympa",olympas
omar,omara,omar
oméga,omegà,omega
omri,"amrì,omry",omri
onam,onama,onam
onésime,"onesimosy,onesimo",onesimus
ono,"onao,ono",ono
ophel,ofela,ophel
ophir,ofira,ophir
ophra,"efran,efrà,ofran,ofra",ophrah
oreb,oreba,oreb
orpa,orpà,orpah
osée,"hosea,osea",hoshea
otniel,"othoniela,otniela,otoniela",othniel
otni,"otnì,otny",othni
ozias,"oziasa,ozia",uzziah
ozni,"oznì,ozny",ozni
oznite,oznita,oznites
paaraï,"faraia,paray",paarai
pagiel,"fegiela,pagiela",pagiel
pahat-moab,"fahata-moaba,pahatamoaba",pahathmoab
palluite,"faloita,paloita",palluites
pallu,"falao,falò,palo",pallu
paltiel,"faltiela,paltiela",phaltiel
palti,"faltì,palty",palti
pamphylie,"pamfylia,panfilia",pamphylia
paphos,"pafosy,pafo",paphos
pâque,"paka,paska",passover
parân,"faràna,parana",paran
parçite,farezita,pharzites
paréosh,"farsosa,parosy",parosh
parménas,"parmenasy,parmena",parmenas
parnak,"farnàka,parnaka",parnach
parpar,"farfara,farpara",pharpar
parshândata,"farsadatà,parsandata",parshandatha
parthes,"parta,partiana",parthians
pasak,foseka,pasach
pas-dammim,"efesa-damima,fesa-domima",pasdammim
paséah,"fesè,pasea",paseah
pashehur,"fasora,pasora",pashur
patara,patara,patara
patmos,"patmosy,patmo",patmos
patrobas,"patroba,patrobosa",patrobas
patros,patrosa,pathros
paul,"paoly,saoly",paul
paü,"faho,pao",pau
pedahçur,"fadasora,pedazora",pedahzur
pedahel,"fedaela,pedahela",pedahel
pedaya,"fadaiasa,pedaia",pedaiah
pelatyahu,"feltiasa,pelatia",pelatiah
pelaya,"feleià,pelaia",pelaiah
pélèt,"faleta,feleta,peleta","peleth,pelet"
peninna,"fenenà,penina",peninnah
pentecôte,"pentekosta,pentekoty",pentecost
penuel,"fanoely,peniela,penoela",penuel
péor,"fogora,peora",peor
péqah,"fasea,peka",pekah
peqahya,"faseià,pekahia",pekahiah
peraçim,perazima,perazim
pérèç-uzza,"ferets-ozà,perez-oza",perezuzzah
pergame,"pergama,pergamosy",pergamos
pergé,"perjy,peryga",perga
